timestamp,river,zone,latitude,longitude,temperature,humidity,rainfall,pressure,wind_speed,cloud_cover
2026-06-03 13:47:50,Kaveri,C1_Talakaveri,12.3855,75.4894,17.7,99,0.1,869.4,5.4,100
2026-06-03 13:47:50,Kaveri,C2_Kodagu,12.3375,75.8069,20.9,95,0.0,912.8,8.5,94
2026-06-03 13:47:50,Kaveri,C3_Mysuru_KRS,12.2958,76.6394,23.4,78,0.0,926.9,16.8,72
2026-06-03 13:47:50,Kaveri,C4_Mettur_Dam,11.787,77.8008,28.6,86,0.1,983.9,8.0,97
2026-06-03 13:47:50,Kaveri,C5_Thanjavur_Delta,10.7867,79.1378,31.1,56,0.0,999.3,6.2,23
2026-06-03 13:48:10,Krishna,K1_Mahabaleshwar,17.9237,73.6586,19.6,87,0.0,862.6,8.7,87
2026-06-03 13:48:10,Krishna,K2_Sangli_Almatti,16.8544,74.5642,28.5,56,0.0,946.3,12.3,100
2026-06-03 13:48:10,Krishna,K3_Raichur_Kurnool,16.2076,77.3463,27.5,69,0.0,962.5,14.7,82
2026-06-03 13:48:10,Krishna,K4_Nagarjuna_Sagar,16.575,79.3167,34.6,46,0.0,995.5,2.1,74
2026-06-03 13:48:10,Krishna,K5_Vijayawada_Delta,16.5062,80.648,33.7,55,0.0,997.3,7.2,88
2026-06-03 13:48:10,Narmada,N1_Amarkantak,22.6747,81.759,25.0,59,0.0,892.4,4.7,17
2026-06-03 13:48:10,Narmada,N2_Jabalpur,23.1815,79.9864,34.0,36,0.0,955.9,5.2,25
2026-06-03 13:48:10,Narmada,N3_Omkareshwar,22.2452,76.151,34.5,41,0.0,980.4,8.4,7
2026-06-03 13:48:10,Narmada,N4_Bharuch,21.7051,72.9959,31.9,63,0.0,1001.0,17.1,1
2026-06-03 13:48:10,Kaveri,C1_Talakaveri,12.3855,75.4894,17.7,99,0.1,869.4,5.4,100
2026-06-03 13:48:10,Kaveri,C2_Kodagu,12.3375,75.8069,20.9,95,0.0,912.8,8.5,94
2026-06-03 13:48:10,Kaveri,C3_Mysuru_KRS,12.2958,76.6394,23.4,78,0.0,926.9,16.8,72
2026-06-03 13:48:10,Kaveri,C4_Mettur_Dam,11.787,77.8008,28.6,86,0.1,983.9,8.0,97
2026-06-03 13:48:10,Kaveri,C5_Thanjavur_Delta,10.7867,79.1378,31.1,56,0.0,999.3,6.2,23
2026-06-12 08:08:24,Krishna,K1_Mahabaleshwar,17.9237,73.6586,22.2,89,0.3,865.7,13.9,100
2026-06-12 08:08:24,Krishna,K2_Sangli_Almatti,16.8544,74.5642,34.3,40,0.0,948.7,19.4,64
2026-06-12 08:08:24,Krishna,K3_Raichur_Kurnool,16.2076,77.3463,36.0,40,0.0,963.5,11.6,89
2026-06-12 08:08:24,Krishna,K4_Nagarjuna_Sagar,16.575,79.3167,37.4,42,0.0,997.2,16.5,96
2026-06-12 08:08:24,Krishna,K5_Vijayawada_Delta,16.5062,80.648,35.0,49,0.0,999.6,5.6,100
2026-06-12 08:08:24,Narmada,N1_Amarkantak,22.6747,81.759,29.1,60,0.1,896.3,9.2,97
2026-06-12 08:08:24,Narmada,N2_Jabalpur,23.1815,79.9864,38.6,34,0.0,958.3,7.8,36
2026-06-12 08:08:24,Narmada,N3_Omkareshwar,22.2452,76.151,38.3,37,0.0,982.6,16.5,9
2026-06-12 08:08:24,Narmada,N4_Bharuch,21.7051,72.9959,36.5,45,0.0,1002.3,25.6,58
2026-06-12 08:08:24,Kaveri,C1_Talakaveri,12.3855,75.4894,19.8,91,0.2,872.1,7.4,95
2026-06-12 08:08:24,Kaveri,C2_Kodagu,12.3375,75.8069,24.9,72,0.1,915.6,11.2,98
2026-06-12 08:08:24,Kaveri,C3_Mysuru_KRS,12.2958,76.6394,30.1,58,0.0,929.1,18.4,98
2026-06-12 08:08:24,Kaveri,C4_Mettur_Dam,11.787,77.8008,35.5,57,0.0,985.4,9.4,88
2026-06-12 08:08:24,Kaveri,C5_Thanjavur_Delta,10.7867,79.1378,36.4,42,0.0,1000.9,20.9,76
2026-06-12 08:11:07,Krishna,K1_Mahabaleshwar,17.9237,73.6586,22.2,85,0.3,865.7,13.9,100
2026-06-12 08:11:07,Krishna,K2_Sangli_Almatti,16.8544,74.5642,34.3,40,0.0,948.7,19.4,64
2026-06-12 08:11:07,Krishna,K3_Raichur_Kurnool,16.2076,77.3463,36.0,40,0.0,963.5,11.6,89
2026-06-12 08:11:07,Krishna,K4_Nagarjuna_Sagar,16.575,79.3167,37.4,42,0.0,997.2,16.5,96
2026-06-12 08:11:07,Krishna,K5_Vijayawada_Delta,16.5062,80.648,35.0,49,0.0,999.6,5.6,100
2026-06-12 08:11:07,Narmada,N1_Amarkantak,22.6747,81.759,29.1,60,0.1,896.3,9.2,97
2026-06-12 08:11:07,Narmada,N2_Jabalpur,23.1815,79.9864,38.6,34,0.0,958.3,7.8,36
2026-06-12 08:11:07,Narmada,N3_Omkareshwar,22.2452,76.151,38.3,37,0.0,982.6,16.5,9
